datetime,day_of_year,week,day_of_week,event_count
"2019-01-01 23:59:59 UTC",1,0,3,720838
"2019-01-02 23:59:59 UTC",2,0,4,1261340
"2019-01-03 23:59:59 UTC",3,0,5,1345160
"2019-01-04 23:59:59 UTC",4,0,6,1309086
"2019-01-05 23:59:59 UTC",5,0,7,914157
"2019-02-01 23:59:59 UTC",32,4,6,1403705
"2019-02-02 23:59:59 UTC",33,4,7,957092
"2019-02-03 23:59:59 UTC",34,5,1,919768
"2019-02-04 23:59:59 UTC",35,5,2,1355038
"2019-02-05 23:59:59 UTC",36,5,3,1439441
"2019-02-06 23:59:59 UTC",37,5,4,1594722
"2019-02-07 23:59:59 UTC",38,5,5,1633404
"2019-02-08 23:59:59 UTC",39,5,6,1634801
"2019-02-09 23:59:59 UTC",40,5,7,1198775
"2019-02-10 23:59:59 UTC",41,6,1,1211093
"2019-02-11 23:59:59 UTC",42,6,2,1768560
"2019-02-12 23:59:59 UTC",43,6,3,1891952
"2019-02-13 23:59:59 UTC",44,6,4,1879278
"2019-02-14 23:59:59 UTC",45,6,5,1823316
"2019-02-15 23:59:59 UTC",46,6,6,1704660
"2019-02-16 23:59:59 UTC",47,6,7,1150241
"2019-02-17 23:59:59 UTC",48,7,1,1174420
"2019-02-18 23:59:59 UTC",49,7,2,1785377
"2019-02-19 23:59:56 UTC",50,7,3,1882803
"2019-02-20 23:59:59 UTC",51,7,4,1878243
"2019-02-21 23:59:59 UTC",52,7,5,1893181
"2019-02-22 23:59:59 UTC",53,7,6,1787995
"2019-02-23 23:59:59 UTC",54,7,7,1194008
"2019-02-24 23:59:59 UTC",55,8,1,1234331
"2019-02-25 23:59:59 UTC",56,8,2,1924226
"2019-02-26 23:59:59 UTC",57,8,3,2009651
"2019-02-27 23:59:59 UTC",58,8,4,1923071
"2019-02-28 23:59:59 UTC",59,8,5,1894941
"2019-03-01 23:59:59 UTC",60,8,6,1747814
"2019-03-02 23:59:59 UTC",61,8,7,1214507
"2019-03-03 23:59:59 UTC",62,9,1,1237916
"2019-03-04 23:59:59 UTC",63,9,2,1876243
"2019-03-05 23:59:59 UTC",64,9,3,1912467
"2019-03-06 23:59:59 UTC",65,9,4,1904967
"2019-03-07 23:59:59 UTC",66,9,5,1902955
"2019-03-08 23:59:59 UTC",67,9,6,1741877
"2019-03-09 23:59:59 UTC",68,9,7,1195575
"2019-03-10 23:59:59 UTC",69,10,1,1231049
"2019-03-11 23:59:59 UTC",70,10,2,1891992
"2019-03-12 23:59:59 UTC",71,10,3,1918414
"2019-03-13 23:59:59 UTC",72,10,4,1802183
"2019-03-14 23:59:59 UTC",73,10,5,1906164
"2019-03-15 23:59:59 UTC",74,10,6,1757964
"2019-03-16 23:59:59 UTC",75,10,7,1153675
"2019-03-17 23:59:59 UTC",76,11,1,1189471
"2019-03-18 23:59:59 UTC",77,11,2,1891290
"2019-03-19 23:59:59 UTC",78,11,3,1944320
"2019-03-20 23:59:59 UTC",79,11,4,1984382
"2019-03-21 23:59:59 UTC",80,11,5,1881011
"2019-03-22 23:59:59 UTC",81,11,6,1780762
"2019-03-23 23:59:59 UTC",82,11,7,1174747
"2019-03-24 23:59:59 UTC",83,12,1,1243378
"2019-03-25 23:59:59 UTC",84,12,2,1877924
"2019-03-26 23:59:59 UTC",85,12,3,1987818
"2019-03-27 23:59:59 UTC",86,12,4,1942830
"2019-03-28 23:59:59 UTC",87,12,5,1998131
"2019-03-29 23:59:59 UTC",88,12,6,1890513
"2019-03-30 23:59:59 UTC",89,12,7,1248539
"2019-03-31 23:59:59 UTC",90,13,1,1205519
"2019-04-01 23:59:59 UTC",91,13,2,1864225
"2019-04-02 23:59:59 UTC",92,13,3,1989278
"2019-04-03 23:59:59 UTC",93,13,4,1994220
"2019-04-04 23:59:59 UTC",94,13,5,1959813
"2019-04-05 23:59:59 UTC",95,13,6,1682800
"2019-04-06 23:59:59 UTC",96,13,7,1133556
"2019-04-07 23:59:59 UTC",97,14,1,1231442
"2019-04-08 23:59:59 UTC",98,14,2,1983136
"2019-04-09 23:59:59 UTC",99,14,3,1815750
"2019-04-10 23:59:59 UTC",100,14,4,1995154
"2019-04-11 23:59:59 UTC",101,14,5,1930626
"2019-04-12 23:59:59 UTC",102,14,6,1818809
"2019-04-13 23:59:59 UTC",103,14,7,1213140
"2019-04-14 23:59:59 UTC",104,15,1,1230377
"2019-04-15 23:59:59 UTC",105,15,2,1857094
"2019-04-16 23:59:59 UTC",106,15,3,1962432
"2019-04-17 23:59:59 UTC",107,15,4,1866750
"2019-04-18 23:59:59 UTC",108,15,5,1783497
"2019-04-19 23:59:59 UTC",109,15,6,1545986
"2019-04-20 23:59:59 UTC",110,15,7,1109098
"2019-04-21 23:59:59 UTC",111,16,1,1104139
"2019-04-22 23:59:59 UTC",112,16,2,1740128
"2019-04-23 23:59:59 UTC",113,16,3,1977780
"2019-04-24 23:59:59 UTC",114,16,4,1967315
"2019-04-25 23:59:59 UTC",115,16,5,1900963
"2019-04-26 23:59:59 UTC",116,16,6,1767713
"2019-04-27 23:59:59 UTC",117,16,7,1170934
"2019-04-28 23:59:59 UTC",118,17,1,1293283
"2019-04-29 23:59:59 UTC",119,17,2,1833270
"2019-04-30 23:59:59 UTC",120,17,3,1858827
"2019-05-01 23:59:59 UTC",121,17,4,1548831
"2019-05-02 23:59:59 UTC",122,17,5,1753541
"2019-05-03 23:59:59 UTC",123,17,6,1636042
"2019-05-04 23:59:59 UTC",124,17,7,1169493
"2019-05-05 23:59:59 UTC",125,18,1,1308060
"2019-05-06 23:59:59 UTC",126,18,2,1824052
"2019-05-07 23:59:59 UTC",127,18,3,1903718
"2019-05-08 23:59:59 UTC",128,18,4,1643195
"2019-05-09 23:59:59 UTC",129,18,5,1847545
"2019-05-10 23:59:59 UTC",130,18,6,1763159
"2019-05-11 23:59:59 UTC",131,18,7,1145406
"2019-05-12 23:59:59 UTC",132,19,1,1158940
"2019-05-13 23:59:59 UTC",133,19,2,1839282
"2019-05-14 23:59:59 UTC",134,19,3,1949326
"2019-05-15 23:59:59 UTC",135,19,4,1913048
"2019-05-16 23:59:59 UTC",136,19,5,1885404
"2019-05-17 23:59:59 UTC",137,19,6,1720294
"2019-05-18 23:59:59 UTC",138,19,7,1104451
"2019-05-19 23:59:59 UTC",139,20,1,1156454
"2019-05-20 23:59:59 UTC",140,20,2,1798921
"2019-05-21 23:59:59 UTC",141,20,3,1905163
"2019-05-22 23:59:59 UTC",142,20,4,1881536
"2019-05-23 23:59:59 UTC",143,20,5,1893509
"2019-05-24 23:59:59 UTC",144,20,6,1743111
"2019-05-25 23:59:59 UTC",145,20,7,1112112
"2019-05-26 23:59:59 UTC",146,21,1,1100546
"2019-05-27 23:59:59 UTC",147,21,2,1652018
"2019-05-28 23:59:59 UTC",148,21,3,1879353
"2019-05-29 23:59:59 UTC",149,21,4,1794698
"2019-05-30 23:59:59 UTC",150,21,5,1818088
"2019-05-31 23:59:59 UTC",151,21,6,1767137
"2019-06-01 23:59:59 UTC",152,21,7,1126928
"2019-06-02 23:59:59 UTC",153,22,1,1139035
"2019-06-03 23:59:59 UTC",154,22,2,1814669
"2019-06-04 23:59:59 UTC",155,22,3,1892186
"2019-06-05 23:59:59 UTC",156,22,4,1901771
"2019-06-06 23:59:59 UTC",157,22,5,1883925
"2019-06-07 23:59:59 UTC",158,22,6,1620873
"2019-06-08 23:59:59 UTC",159,22,7,1052975
"2019-06-09 23:59:59 UTC",160,23,1,1096905
"2019-06-10 23:59:59 UTC",161,23,2,1781086
"2019-06-11 23:59:59 UTC",162,23,3,1911290
"2019-06-12 23:59:59 UTC",163,23,4,1902919
"2019-06-13 23:59:59 UTC",164,23,5,1888395
"2019-06-14 23:59:59 UTC",165,23,6,1698211
"2019-06-15 23:59:59 UTC",166,23,7,1053556
"2019-06-16 23:59:59 UTC",167,24,1,1080995
"2019-06-17 23:59:59 UTC",168,24,2,1767629
"2019-06-18 23:59:59 UTC",169,24,3,1827763
"2019-06-19 23:59:59 UTC",170,24,4,1816924
"2019-06-20 23:59:59 UTC",171,24,5,1789041
"2019-06-21 23:59:59 UTC",172,24,6,1676880
"2019-06-22 23:59:59 UTC",173,24,7,1073483
"2019-06-23 23:59:59 UTC",174,25,1,1104918
"2019-06-24 23:59:59 UTC",175,25,2,1814237
"2019-06-25 23:59:59 UTC",176,25,3,1902909
"2019-06-26 23:59:59 UTC",177,25,4,1854221
"2019-06-27 23:59:59 UTC",178,25,5,1851563
"2019-06-28 23:59:59 UTC",179,25,6,1620147
"2019-06-29 23:59:59 UTC",180,25,7,1022344
"2019-06-30 23:59:59 UTC",181,26,1,1029105
"2019-07-01 23:59:59 UTC",182,26,2,1769908
"2019-07-02 23:59:59 UTC",183,26,3,1821940
"2019-07-03 23:59:59 UTC",184,26,4,1821597
"2019-07-04 23:59:59 UTC",185,26,5,1626164
"2019-07-05 23:59:59 UTC",186,26,6,1542819
"2019-07-06 23:59:59 UTC",187,26,7,1042264
"2019-07-07 23:59:59 UTC",188,27,1,1056395
"2019-07-08 23:59:59 UTC",189,27,2,1815399
"2019-07-09 23:59:59 UTC",190,27,3,1905903
"2019-07-10 23:59:59 UTC",191,27,4,1890747
"2019-07-11 23:59:59 UTC",192,27,5,1977572
"2019-07-12 23:59:59 UTC",193,27,6,1785644
"2019-07-13 23:59:59 UTC",194,27,7,1126995
"2019-07-14 23:59:59 UTC",195,28,1,1117579
"2019-07-15 23:59:59 UTC",196,28,2,1853870
"2019-07-16 23:59:59 UTC",197,28,3,1900727
"2019-07-17 23:59:59 UTC",198,28,4,1930143
"2019-07-18 23:59:59 UTC",199,28,5,1886137
"2019-07-19 23:59:59 UTC",200,28,6,1838548
"2019-07-20 23:59:59 UTC",201,28,7,1103711
"2019-07-21 23:59:59 UTC",202,29,1,1127414
"2019-07-22 23:59:59 UTC",203,29,2,1900838
"2019-07-23 23:59:59 UTC",204,29,3,1997273
"2019-07-24 23:59:59 UTC",205,29,4,1915450
"2019-07-25 23:59:59 UTC",206,29,5,1795099
"2019-07-26 23:59:59 UTC",207,29,6,1684488
"2019-07-27 23:59:59 UTC",208,29,7,1078331
"2019-07-28 23:59:59 UTC",209,30,1,1140583
"2019-07-29 23:59:59 UTC",210,30,2,1874390
"2019-07-30 23:59:59 UTC",211,30,3,1958348
"2019-07-31 23:59:59 UTC",212,30,4,1916686
"2019-08-01 23:59:59 UTC",213,30,5,1893163
"2019-08-02 23:59:59 UTC",214,30,6,1733793
"2019-08-03 23:59:59 UTC",215,30,7,1097951
"2019-08-04 23:59:59 UTC",216,31,1,1114396
"2019-08-05 23:59:59 UTC",217,31,2,1839557
"2019-08-06 23:59:59 UTC",218,31,3,1893727
"2019-08-07 23:59:59 UTC",219,31,4,1900357
"2019-08-08 23:59:59 UTC",220,31,5,1881233
"2019-08-09 23:59:59 UTC",221,31,6,1775735
"2019-08-10 23:59:59 UTC",222,31,7,1145995
"2019-08-11 23:59:59 UTC",223,32,1,1121925
"2019-08-12 23:59:59 UTC",224,32,2,1803129
"2019-08-13 23:59:59 UTC",225,32,3,1896088
"2019-08-14 23:59:59 UTC",226,32,4,1885763
"2019-08-15 23:59:59 UTC",227,32,5,1727115
"2019-08-16 23:59:59 UTC",228,32,6,1705848
"2019-08-17 23:59:59 UTC",229,32,7,1135087
"2019-08-18 23:59:59 UTC",230,33,1,1216029
"2019-08-19 23:59:59 UTC",231,33,2,1920062
"2019-08-20 23:59:59 UTC",232,33,3,1953542
"2019-08-21 23:59:59 UTC",233,33,4,1987623
"2019-08-22 23:59:59 UTC",234,33,5,1914495
"2019-08-23 23:59:59 UTC",235,33,6,1763678
"2019-08-24 23:59:59 UTC",236,33,7,1145412
"2019-08-25 23:59:59 UTC",237,34,1,1155210
"2019-08-26 23:59:59 UTC",238,34,2,1717798
"2019-08-27 23:59:59 UTC",239,34,3,1831225
"2019-08-28 23:59:59 UTC",240,34,4,1886763
"2019-08-29 23:59:59 UTC",241,34,5,2008449
"2019-08-30 23:59:59 UTC",242,34,6,1794530
"2019-08-31 23:59:59 UTC",243,34,7,1147875
"2019-09-01 23:59:59 UTC",244,35,1,1191723
"2019-09-02 23:59:59 UTC",245,35,2,1741771
"2019-09-03 23:59:59 UTC",246,35,3,1946974
"2019-09-04 23:59:59 UTC",247,35,4,2005132
"2019-09-05 23:59:59 UTC",248,35,5,1964734
"2019-09-06 23:59:59 UTC",249,35,6,1837289
"2019-09-07 23:59:59 UTC",250,35,7,1206862
"2019-09-08 23:59:59 UTC",251,36,1,1282728
"2019-09-09 23:59:59 UTC",252,36,2,2025158
"2019-09-10 23:59:59 UTC",253,36,3,2025022
"2019-09-11 23:59:59 UTC",254,36,4,1961705
"2019-09-12 07:59:59 UTC",255,36,5,557535
"2019-09-13 23:59:59 UTC",256,36,6,1302173
"2019-09-14 23:59:59 UTC",257,36,7,1199614
"2019-09-15 23:59:59 UTC",258,37,1,1234468
"2019-09-16 23:59:59 UTC",259,37,2,2004406
"2019-09-17 23:59:59 UTC",260,37,3,2059502
"2019-09-18 23:59:59 UTC",261,37,4,2049011
"2019-09-19 23:59:59 UTC",262,37,5,2007409
"2019-09-20 23:59:59 UTC",263,37,6,1832207
"2019-09-21 23:59:59 UTC",264,37,7,1212122
"2019-09-22 23:59:59 UTC",265,38,1,1268967
"2019-09-23 23:59:59 UTC",266,38,2,1984532
"2019-09-24 23:59:59 UTC",267,38,3,1944549
"2019-09-25 23:59:59 UTC",268,38,4,2052643
"2019-09-26 23:59:59 UTC",269,38,5,2019504
"2019-09-27 23:59:59 UTC",270,38,6,1870400
"2019-09-28 23:59:59 UTC",271,38,7,1266779
"2019-09-29 23:59:59 UTC",272,39,1,1364833
"2019-09-30 23:59:59 UTC",273,39,2,1991135
"2019-10-01 23:59:59 UTC",274,39,3,1984662
"2019-10-02 23:59:59 UTC",275,39,4,1968591
"2019-10-03 23:59:59 UTC",276,39,5,1926387
"2019-10-04 23:59:59 UTC",277,39,6,1875251
"2019-10-05 23:59:59 UTC",278,39,7,1272283
"2019-10-06 23:59:59 UTC",279,40,1,1307321
"2019-10-07 23:59:59 UTC",280,40,2,1957084
"2019-10-08 23:59:59 UTC",281,40,3,2054601
"2019-10-09 23:59:59 UTC",282,40,4,2084869
"2019-10-10 23:59:59 UTC",283,40,5,1965824
"2019-10-11 23:59:59 UTC",284,40,6,1914586
"2019-10-12 23:59:59 UTC",285,40,7,1377168
"2019-10-13 23:59:59 UTC",286,41,1,1318244
"2019-10-14 23:59:59 UTC",287,41,2,2027438
"2019-10-15 23:59:59 UTC",288,41,3,2134789
"2019-10-16 23:59:59 UTC",289,41,4,2018174
"2019-10-17 23:59:59 UTC",290,41,5,2021920
"2019-10-18 23:59:59 UTC",291,41,6,1955226
"2019-10-19 23:59:59 UTC",292,41,7,1319441
"2019-10-20 23:59:59 UTC",293,42,1,1361384
"2019-10-21 23:59:59 UTC",294,42,2,2277063
"2019-10-22 23:59:59 UTC",295,42,3,2273386
"2019-10-23 23:59:59 UTC",296,42,4,2196504
"2019-10-24 23:59:59 UTC",297,42,5,1987050
"2019-10-25 23:59:59 UTC",298,42,6,1894291
"2019-10-26 23:59:59 UTC",299,42,7,1272208
"2019-10-27 23:59:59 UTC",300,43,1,1292776
"2019-10-28 23:59:59 UTC",301,43,2,2063109
"2019-10-29 23:59:59 UTC",302,43,3,2157818
"2019-10-30 23:59:59 UTC",303,43,4,2110331
"2019-10-31 23:59:59 UTC",304,43,5,2235588
"2019-11-01 23:59:59 UTC",305,43,6,1933665
"2019-11-02 23:59:59 UTC",306,43,7,1695409
"2019-11-03 23:59:59 UTC",307,44,1,1319320
"2019-11-04 23:59:59 UTC",308,44,2,2068695
"2019-11-05 23:59:59 UTC",309,44,3,2166980
"2019-11-06 23:59:59 UTC",310,44,4,2260145
"2019-11-07 23:59:59 UTC",311,44,5,2149605
"2019-11-08 23:59:59 UTC",312,44,6,1986816
"2019-11-09 23:59:59 UTC",313,44,7,1487019
"2019-11-10 23:59:59 UTC",314,45,1,1307091
"2019-11-11 23:59:59 UTC",315,45,2,2059518
"2019-11-12 23:59:59 UTC",316,45,3,2203019
"2019-11-13 23:59:59 UTC",317,45,4,2246215
"2019-11-14 23:59:59 UTC",318,45,5,2124655
"2019-11-15 23:59:59 UTC",319,45,6,2008037
"2019-11-16 23:59:59 UTC",320,45,7,1308896
"2019-11-17 23:59:59 UTC",321,46,1,1353619
"2019-11-18 23:59:59 UTC",322,46,2,2142209
"2019-11-19 23:59:59 UTC",323,46,3,2202338
"2019-11-20 23:59:59 UTC",324,46,4,2161648
"2019-11-21 23:59:59 UTC",325,46,5,2132409
"2019-11-22 23:59:59 UTC",326,46,6,1975651
"2019-11-23 23:59:59 UTC",327,46,7,1296841
"2019-11-24 23:59:59 UTC",328,47,1,1307128
"2019-11-25 23:59:59 UTC",329,47,2,2186613
"2019-11-26 23:59:59 UTC",330,47,3,2174491
"2019-11-27 23:59:59 UTC",331,47,4,2086999
"2019-11-28 23:59:59 UTC",332,47,5,1865806
"2019-11-29 23:59:59 UTC",333,47,6,1648604
"2019-11-30 23:59:59 UTC",334,47,7,1234258
"2019-12-01 23:59:59 UTC",335,48,1,1359046
"2019-12-02 23:59:59 UTC",336,48,2,2206083
"2019-12-03 23:59:59 UTC",337,48,3,2355203
"2019-12-04 23:59:59 UTC",338,48,4,2279911
"2019-12-05 23:59:59 UTC",339,48,5,2223447
"2019-12-06 23:59:59 UTC",340,48,6,2173555
"2019-12-07 23:59:59 UTC",341,48,7,1309011
"2019-12-08 23:59:59 UTC",342,49,1,1340443
"2019-12-09 23:59:59 UTC",343,49,2,2169633
"2019-12-10 23:59:59 UTC",344,49,3,2182407
"2019-12-11 23:59:59 UTC",345,49,4,2143715
"2019-12-12 23:59:59 UTC",346,49,5,2064429
"2019-12-13 23:59:59 UTC",347,49,6,1903109
"2019-12-14 23:59:59 UTC",348,49,7,1270734
"2019-12-15 23:59:59 UTC",349,50,1,1291426
"2019-12-16 23:59:59 UTC",350,50,2,2105302
"2019-12-17 23:59:59 UTC",351,50,3,2098910
"2019-12-18 23:59:59 UTC",352,50,4,2060489
"2019-12-19 23:59:59 UTC",353,50,5,2102920
"2019-12-20 23:59:59 UTC",354,50,6,1978167
"2019-12-21 23:59:59 UTC",355,50,7,1146804
"2019-12-22 23:59:59 UTC",356,51,1,1141362
"2019-12-23 23:59:59 UTC",357,51,2,1630523
"2019-12-24 23:59:59 UTC",358,51,3,1362873
"2019-12-25 23:59:59 UTC",359,51,4,1119265
"2019-12-26 23:59:59 UTC",360,51,5,1405039
"2019-12-27 23:59:59 UTC",361,51,6,1480031
"2019-12-28 23:59:59 UTC",362,51,7,1435823
"2019-12-29 23:59:59 UTC",363,52,1,1578958
"2019-12-30 23:59:59 UTC",364,52,2,1773437
"2019-12-31 23:59:59 UTC",365,52,3,1304708
